Year,File Type,File Size,Compression,Resolution,Season,Image File,World File,Location
2009,ECW,17MB,1:20,20cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2009/k14d_020.ecw,,"POLYGON ((-97.081303639233 49.825543923581, -97.081659228038 49.816554638652, -97.095552105627 49.816783831364, -97.095199088233 49.825773188776, -97.081303639233 49.825543923581))"
2009,ECW,18MB,1:20,20cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2009/h11b_020.ecw,,"POLYGON ((-97.162975608989 49.871842861836, -97.163316624624 49.862853228531, -97.177223421398 49.863072780256, -97.176884984328 49.872062483018, -97.162975608989 49.871842861836))"
2009,ECW,15MB,1:20,20cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2009/f19a_020.ecw,,"POLYGON ((-96.952835679868 49.904302372645, -96.953216125503 49.895313908936, -96.967130526805 49.89555877592, -96.966752663149 49.904547317099, -96.952835679868 49.904302372645))"
2009,ECW,14MB,1:20,20cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2009/b09b_020.ecw,,"POLYGON ((-97.214632696907 49.980589015122, -97.214965403468 49.971599294697, -97.228903907651 49.971812986143, -97.228573795716 49.980802774217, -97.214632696907 49.980589015122))"
2009,ECW,16MB,1:20,20cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2009/f14c_020.ecw,,"POLYGON ((-97.092368544243 49.897687477178, -97.09272298602 49.888698246635, -97.106636649574 49.888926351229, -97.106284789683 49.897915653941, -97.092368544243 49.897687477178))"
2009,ECW,15MB,1:20,20cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2009/f07b_020.ecw,,"POLYGON ((-97.272972160613 49.909513666636, -97.273293190749 49.900523554551, -97.287211639407 49.900730026405, -97.286893193897 49.909720203826, -97.272972160613 49.909513666636))"
2009,ECW,16MB,1:20,20cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2009/c11d_020.ecw,,"POLYGON ((-97.159898726446 49.952748853765, -97.160241291798 49.943759362028, -97.174171342407 49.943979539783, -97.173831367321 49.952969101208, -97.159898726446 49.952748853765))"
2009,ECW,14MB,1:20,20cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2009/e06c_020.ecw,,"POLYGON ((-97.314422306797 49.919118557798, -97.314735740623 49.910128266744, -97.328657251463 49.910329792379, -97.328346403877 49.919320147209, -97.314422306797 49.919118557798))"
2009,ECW,15MB,1:20,20cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2009/k12b_020.ecw,,"POLYGON ((-97.136541019678 49.835440549806, -97.13688649591 49.826450993877, -97.150782647721 49.826673598581, -97.150439744651 49.835663224915, -97.136541019678 49.835440549806))"
2009,ECW,14MB,1:20,20cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2009/a12a_020.ecw,,"POLYGON ((-97.144237867634 49.997473804869, -97.144583894576 49.988484462141, -97.158526736356 49.98870666339, -97.158183306096 49.997696076465, -97.144237867634 49.997473804869))"
