Year,File Type,File Size,Compression,Resolution,Season,Image File,World File,Location
2012,ECW,18MB,1:04,10cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/J15C-4.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/J15C-4.eww,"POLYGON ((-97.06686812239 49.838793948417, -97.067047360403 49.834299356384, -97.073996258851 49.834415066339, -97.07381766422 49.838909676669, -97.06686812239 49.838793948417))"
2012,ECW,14MB,1:04,10cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/F5D-3.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/F5D-3.eww,"POLYGON ((-97.335587538716 49.89561578605, -97.33569684268 49.892438571656, -97.342119320236 49.892530598496, -97.3420104376 49.89570782318, -97.335587538716 49.89561578605))"
2012,ECW,19MB,1:04,10cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/J9D-3.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/J9D-3.eww,"POLYGON ((-97.226718667658 49.841350327757, -97.226883104278 49.836855331535, -97.233832995089 49.836961463297, -97.233669202175 49.841456476304, -97.226718667658 49.841350327757))"
2012,ECW,18MB,1:04,10cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/M11C-3.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/M11C-3.eww,"POLYGON ((-97.187033126766 49.786765700097, -97.187200918186 49.782270758899, -97.194142847475 49.782379183736, -97.193975697741 49.786874142076, -97.187033126766 49.786765700097))"
2012,ECW,9MB,1:04,10cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/B10A-2.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/B10A-2.eww,"POLYGON ((-97.200866644998 49.975610732608, -97.20094550207 49.97349636586, -97.207914953995 49.973604265982, -97.207836402013 49.975718640763, -97.200866644998 49.975610732608))"
2012,ECW,18MB,1:04,10cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/F16C-4.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/F16C-4.eww,"POLYGON ((-97.036885098468 49.892260778049, -97.037067459808 49.887766307763, -97.044023907489 49.887883906092, -97.043842191414 49.892378394979, -97.036885098468 49.892260778049))"
2012,ECW,24MB,1:04,10cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/B13D-3.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/B13D-3.eww,"POLYGON ((-97.110605396246 49.965445819445, -97.110781366861 49.960951211462, -97.117748655193 49.961064507337, -97.117573332608 49.965559133249, -97.110605396246 49.965445819445))"
2012,ECW,10MB,1:04,10cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/L9B-3.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/L9B-3.eww,"POLYGON ((-97.227624232476 49.816581951071, -97.227707984146 49.814289492517, -97.234654645868 49.814395540066, -97.234571222055 49.816688007172, -97.227624232476 49.816581951071))"
2012,ECW,18MB,1:04,10cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/D12C-2.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/D12C-2.eww,"POLYGON ((-97.146653716865 49.934545243591, -97.146826142683 49.930050519047, -97.153789118216 49.930161600437, -97.153617339359 49.934656342556, -97.146653716865 49.934545243591))"
2012,ECW,22MB,1:04,10cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/B12A-4.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2012/B12A-4.eww,"POLYGON ((-97.145099927194 49.974997587208, -97.145272744645 49.97050289812, -97.152241548691 49.970614137808, -97.152069379668 49.975108844501, -97.145099927194 49.974997587208))"
