Year,File Type,File Size,Compression,Resolution,Season,Image File,World File,Location
2021,ECW,107MB,1:04,7.5cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2021/6187E55186N.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2021/6187E55186N.eww,"POLYGON ((-97.3495399502951 49.808536850369215, -97.3493105683572 49.81527980829813, -97.33888977584353 49.815130887074005, -97.33912060425043 49.80838796446102, -97.3495399502951 49.808536850369215))"
2021,ECW,118MB,1:04,7.5cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2021/6187E55194N.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2021/6187E55194N.eww,"POLYGON ((-97.3493105683572 49.81527980829813, -97.34908109985784 49.822022757562806, -97.33865886032997 49.821873801013005, -97.33888977584353 49.815130887074005, -97.3493105683572 49.81527980829813))"
2021,ECW,86MB,1:04,7.5cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2021/6187E55201N.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2021/6187E55201N.eww,"POLYGON ((-97.34908109985784 49.822022757562806, -97.34885154475464 49.82876569816314, -97.33842785766716 49.82861670627789, -97.33865886032997 49.821873801013005, -97.34908109985784 49.822022757562806))"
2021,ECW,83MB,1:04,7.5cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2021/6187E55209N.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2021/6187E55209N.eww,"POLYGON ((-97.34885154475464 49.82876569816314, -97.34862190300517 49.835508630099106, -97.33819676781235 49.835359602868635, -97.33842785766716 49.82861670627789, -97.34885154475464 49.82876569816314))"
2021,ECW,107MB,1:04,7.5cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2021/6187E55216N.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2021/6187E55216N.eww,"POLYGON ((-97.34862190300517 49.835508630099106, -97.34839217456698 49.84225155337061, -97.33796559072285 49.842102490785145, -97.33819676781235 49.835359602868635, -97.34862190300517 49.835508630099106))"
2021,ECW,83MB,1:04,7.5cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2021/6187E55246N.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2021/6187E55246N.eww,"POLYGON ((-97.34770246869527 49.862480271197654, -97.3474723930772 49.86922315981061, -97.33704000916272 49.86907395570732, -97.33727153561868 49.86233110248851, -97.34770246869527 49.862480271197654))"
2021,ECW,88MB,1:04,7.5cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2021/6187E55254N.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2021/6187E55254N.eww,"POLYGON ((-97.3474723930772 49.86922315981061, -97.34724223055775 49.87596603975876, -97.33680839525807 49.87581680025152, -97.33704000916272 49.86907395570732, -97.3474723930772 49.86922315981061))"
2021,ECW,76MB,1:04,7.5cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2021/6187E55261N.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2021/6187E55261N.eww,"POLYGON ((-97.34724223055775 49.87596603975876, -97.34701198109433 49.88270891104202, -97.33657669386186 49.882559636121016, -97.33680839525807 49.87581680025152, -97.34724223055775 49.87596603975876))"
2021,ECW,86MB,1:04,7.5cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2021/6187E55269N.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2021/6187E55269N.eww,"POLYGON ((-97.34701198109433 49.88270891104202, -97.34678164464425 49.889451773660326, -97.33634490493115 49.88930246331576, -97.33657669386186 49.882559636121016, -97.34701198109433 49.88270891104202))"
2021,ECW,93MB,1:04,7.5cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2021/6187E55276N.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2021/6187E55276N.eww,"POLYGON ((-97.34678164464425 49.889451773660326, -97.34655122116486 49.89619462761361, -97.336113028423 49.89604528183566, -97.33634490493115 49.88930246331576, -97.34678164464425 49.889451773660326))"
2021,ECW,84MB,1:04,7.5cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2021/6187E55284N.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2021/6187E55284N.eww,"POLYGON ((-97.34655122116486 49.89619462761361, -97.34632071061344 49.902937472901804, -97.33588106429444 49.90278809168065, -97.336113028423 49.89604528183566, -97.34655122116486 49.89619462761361))"
2021,ECW,102MB,1:04,7.5cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2021/6195E55186N.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2021/6195E55186N.eww,"POLYGON ((-97.33912060425043 49.80838796446102, -97.33888977584353 49.815130887074005, -97.32846907043648 49.81498102926183, -97.32870134526976 49.808238142186646, -97.33912060425043 49.80838796446102))"
2021,ECW,133MB,1:04,7.5cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2021/6195E55194N.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2021/6195E55194N.eww,"POLYGON ((-97.33888977584353 49.815130887074005, -97.33865886032997 49.821873801013005, -97.3282367079514 49.82172390765319, -97.32846907043648 49.81498102926183, -97.33888977584353 49.815130887074005))"
2021,ECW,68MB,1:04,7.5cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2021/6195E55201N.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2021/6195E55201N.eww,"POLYGON ((-97.33865886032997 49.821873801013005, -97.33842785766716 49.82861670627789, -97.32800425777164 49.82846677736063, -97.3282367079514 49.82172390765319, -97.33865886032997 49.821873801013005))"
2021,ECW,59MB,1:04,7.5cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2021/6195E55209N.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2021/6195E55209N.eww,"POLYGON ((-97.33842785766716 49.82861670627789, -97.33819676781235 49.835359602868635, -97.32777171985423 49.835209638384086, -97.32800425777164 49.82846677736063, -97.33842785766716 49.82861670627789))"
2021,ECW,82MB,1:04,7.5cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2021/6195E55216N.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2021/6195E55216N.eww,"POLYGON ((-97.33819676781235 49.835359602868635, -97.33796559072285 49.842102490785145, -97.32753909415615 49.84195249072347, -97.32777171985423 49.835209638384086, -97.33819676781235 49.835359602868635))"
2021,ECW,73MB,1:04,7.5cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2021/6195E55246N.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2021/6195E55246N.eww,"POLYGON ((-97.33727153561868 49.86233110248851, -97.33704000916272 49.86907395570732, -97.32660771269693 49.86892381323865, -97.3268406899479 49.86218099563637, -97.33727153561868 49.86233110248851))"
