Year,File Type,File Size,Compression,Resolution,Season,Image File,World File,Location
2018,ECW,74MB,1:04,7.5cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2018/6375E55239N.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2018/6375E55239N.eww,"POLYGON ((-97.076528037392 49.858297039438, -97.076795719099 49.851555134383, -97.087222853854 49.851727709757, -97.086956621288 49.858469655752, -97.076528037392 49.858297039438))"
2018,ECW,7MB,1:04,7.5cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2018/6262E55359N.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2018/6262E55359N.eww,"POLYGON ((-97.229019407489 49.96866656028, -97.229266838524 49.961924204885, -97.239718686448 49.962083319515, -97.239472714044 49.968825712684, -97.229019407489 49.96866656028))"
2018,ECW,89MB,1:04,7.5cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2018/6405E55321N.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2018/6405E55321N.eww,"POLYGON ((-97.031799636437 49.931755734823, -97.03207425282 49.925014094599, -97.042516948634 49.925190880228, -97.042243787213 49.931932562407, -97.031799636437 49.931755734823))"
2018,ECW,78MB,1:04,7.5cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2018/6217E55276N.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2018/6217E55276N.eww,"POLYGON ((-97.294361139143 49.89543850636, -97.294598827334 49.8886958318, -97.305035213449 49.888848898161, -97.304798978113 49.895591609045, -97.294361139143 49.89543850636))"
2018,ECW,98MB,1:04,7.5cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2018/6292E55126N.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2018/6292E55126N.eww,"POLYGON ((-97.195014021141 49.759008170934, -97.195264339295 49.752265695507, -97.205670869665 49.752427381785, -97.205421993011 49.759169895549, -97.195014021141 49.759008170934))"
2018,ECW,80MB,1:04,7.5cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2018/6315E55261N.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2018/6315E55261N.eww,"POLYGON ((-97.159190650616 49.879878340368, -97.159447028085 49.873136140568, -97.169879301581 49.873301333402, -97.169624375279 49.880043572397, -97.159190650616 49.879878340368))"
2018,ECW,82MB,1:04,7.5cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2018/6390E55269N.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2018/6390E55269N.eww,"POLYGON ((-97.054587831867 49.884916194346, -97.054858820663 49.878174407687, -97.065291552268 49.878349023464, -97.065022014699 49.885090851553, -97.054587831867 49.884916194346))"
2018,ECW,74MB,1:04,7.5cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2018/6390E55329N.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2018/6390E55329N.eww,"POLYGON ((-97.052416232132 49.938850164926, -97.052688041256 49.932108449978, -97.063132398016 49.932283397514, -97.062862044505 49.939025153983, -97.052416232132 49.938850164926))"
2018,ECW,77MB,1:04,7.5cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2018/6322E55306N.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2018/6322E55306N.eww,"POLYGON ((-97.147208004392 49.920164946058, -97.147466418041 49.913422838849, -97.157907309672 49.913589206601, -97.15765035043 49.920331353292, -97.147208004392 49.920164946058))"
2018,ECW,20MB,1:04,7.5cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2018/6262E55306N.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2018/6262E55306N.eww,"POLYGON ((-97.230749461561 49.92146988819, -97.230996238634 49.914727471353, -97.241437891549 49.914886321856, -97.241192569258 49.921628776393, -97.230749461561 49.92146988819))"
