Year,File Type,File Size,Compression,Resolution,Season,Image File,World File,Location
2014,ECW,16MB,1:04,10cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2014/6280E55281N.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2014/6280E55281N.eww,"POLYGON ((-97.21077858265 49.89642732917, -97.210944820328 49.891932414799, -97.217902557157 49.8920395877, -97.217736965151 49.896534519025, -97.21077858265 49.89642732917))"
2014,ECW,18MB,1:04,10cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2014/6385E55306N.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2014/6385E55306N.eww,"POLYGON ((-97.063762825558 49.916552593966, -97.063942845658 49.912058070754, -97.070902897851 49.912174097565, -97.070723523936 49.916668639133, -97.063762825558 49.916552593966))"
2014,ECW,20MB,1:04,10cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2014/6345E55381N.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2014/6345E55381N.eww,"POLYGON ((-97.116821621003 49.984888811558, -97.116997133563 49.980394202639, -97.123967254258 49.980507156926, -97.123792390444 49.985001783723, -97.116821621003 49.984888811558))"
2014,ECW,20MB,1:04,10cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2014/6400E55201N.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2014/6400E55201N.eww,"POLYGON ((-97.04669252899 49.821817292671, -97.046873528294 49.817322741163, -97.053819912474 49.817439631646, -97.05363955591 49.821934201636, -97.04669252899 49.821817292671))"
2014,ECW,16MB,1:04,10cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2014/6245E55281N.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2014/6245E55281N.eww,"POLYGON ((-97.259488130394 49.897168892948, -97.259649848084 49.892673861284, -97.266607873382 49.892778112855, -97.266446801458 49.897273161012, -97.259488130394 49.897168892948))"
2014,ECW,25MB,1:04,10cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2014/6275E55361N.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2014/6275E55361N.eww,"POLYGON ((-97.215081811126 49.968452888855, -97.215248072142 49.963958020046, -97.222216201155 49.964065046217, -97.22205058843 49.968559931965, -97.215081811126 49.968452888855))"
2014,ECW,19MB,1:04,10cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2014/6355E55226N.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2014/6355E55226N.eww,"POLYGON ((-97.108340658949 49.845328008461, -97.108516093596 49.840833312774, -97.115466096122 49.840946547508, -97.115291305154 49.845441261102, -97.108340658949 49.845328008461))"
2014,ECW,25MB,1:04,10cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2014/6390E55156N.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2014/6390E55156N.eww,"POLYGON ((-97.062202426791 49.781599255468, -97.062381734398 49.777104631237, -97.069322431455 49.777220524493, -97.069143765167 49.781715167044, -97.062202426791 49.781599255468))"
2014,ECW,19MB,1:04,10cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2014/6365E55341N.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2014/6365E55341N.eww,"POLYGON ((-97.090362590094 49.948476331762, -97.090540338615 49.943981763284, -97.09750509767 49.944096246716, -97.097327996532 49.948590833309, -97.090362590094 49.948476331762))"
2014,ECW,19MB,1:04,10cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2014/6375E55236N.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2014/6375E55236N.eww,"POLYGON ((-97.080182364397 49.853860067284, -97.080360463223 49.849365451823, -97.087311575644 49.849480388827, -97.087134120763 49.853975022464, -97.080182364397 49.853860067284))"
2014,ECW,22MB,1:04,10cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2014/6365E55141N.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2014/6365E55141N.eww,"POLYGON ((-97.097437736045 49.768690499881, -97.097613704187 49.764195772817, -97.104552700921 49.764309534386, -97.104377373688 49.768804279433, -97.097437736045 49.768690499881))"
2014,ECW,18MB,1:04,10cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2014/6250E55191N.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2014/6250E55191N.eww,"POLYGON ((-97.255445797522 49.816153340201, -97.255607427075 49.811658255055, -97.262553815815 49.811762626447, -97.2623928291 49.816257728097, -97.255445797522 49.816153340201))"
2014,ECW,20MB,1:04,10cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2014/6365E55231N.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2014/6365E55231N.eww,"POLYGON ((-97.094262732713 49.849594909227, -97.094439499148 49.845100253515, -97.101390056893 49.845214339263, -97.10121393427 49.849709013017, -97.094262732713 49.849594909227))"
2014,ECW,19MB,1:04,10cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2014/6315E55156N.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2014/6315E55156N.eww,"POLYGON ((-97.166327145131 49.783294288306, -97.16649683144 49.778799396168, -97.173438185086 49.778909055756, -97.17326914031 49.78340396523, -97.166327145131 49.783294288306))"
2014,ECW,21MB,1:04,10cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2014/6240E55301N.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2014/6240E55301N.eww,"POLYGON ((-97.265802107892 49.915253314786, -97.26596334219 49.910758282171, -97.272923992141 49.910862182109, -97.272763404272 49.915357231164, -97.265802107892 49.915253314786))"
2014,ECW,19MB,1:04,10cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2014/6280E55251N.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2014/6280E55251N.eww,"POLYGON ((-97.211775381103 49.869457784296, -97.211941367831 49.864962846465, -97.218895234036 49.865069917708, -97.218729892007 49.869564872473, -97.211775381103 49.869457784296))"
2014,ECW,18MB,1:04,10cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2014/6370E55261N.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2014/6370E55261N.eww,"POLYGON ((-97.086246176113 49.876448131131, -97.086423854458 49.871953517334, -97.093378232942 49.87206812832, -97.093201199366 49.876562760245, -97.086246176113 49.876448131131))"
2014,ECW,19MB,1:04,10cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2014/6380E55316N.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2014/6380E55316N.eww,"POLYGON ((-97.07036464051 49.925657710341, -97.070544104827 49.921163176725, -97.077505494761 49.921278822606, -97.077326676969 49.925773374518, -97.07036464051 49.925657710341))"
2014,ECW,17MB,1:04,10cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2014/6295E55271N.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2014/6295E55271N.eww,"POLYGON ((-97.190239993909 49.887113525234, -97.190408083842 49.882618654282, -97.197364403832 49.882727044798, -97.197196959206 49.887221932895, -97.190239993909 49.887113525234))"
2014,ECW,20MB,1:04,10cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2014/6350E55111N.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2014/6350E55111N.eww,"POLYGON ((-97.119300397579 49.742061848047, -97.119474180785 49.737567043513, -97.126409466854 49.737679452316, -97.126236323636 49.742174274615, -97.119300397579 49.742061848047))"
2014,ECW,19MB,1:04,10cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2014/6320E55356N.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2014/6320E55356N.eww,"POLYGON ((-97.152536816819 49.962975958519, -97.15270886844 49.958481241193, -97.159675966334 49.958592014957, -97.159504562716 49.963086749814, -97.152536816819 49.962975958519))"
2014,ECW,30MB,1:04,10cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2014/6305E55106N.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2014/6305E55106N.eww,"POLYGON ((-97.181893307348 49.738563782417, -97.182061287956 49.734068816429, -97.18899631965 49.734177472885, -97.188828978995 49.738672456046, -97.181893307348 49.738563782417))"
2014,ECW,21MB,1:04,10cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2014/6290E55141N.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2014/6290E55141N.eww,"POLYGON ((-97.201536854411 49.770353569701, -97.201703207434 49.765858579795, -97.208642848055 49.765966110179, -97.208477136151 49.770461117082, -97.201536854411 49.770353569701))"
2014,ECW,16MB,1:04,10cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2014/6315E55221N.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2014/6315E55221N.eww,"POLYGON ((-97.164117335995 49.841727528356, -97.164287577969 49.837232687326, -97.171237284122 49.837342572525, -97.171067685778 49.841837430932, -97.164117335995 49.841727528356))"
2014,ECW,19MB,1:04,10cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2014/6375E55196N.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2014/6375E55196N.eww,"POLYGON ((-97.081605901119 49.817903032404, -97.081783641868 49.813408385175, -97.088729608552 49.813523176888, -97.088552510455 49.818017842267, -97.081605901119 49.817903032404))"
2014,ECW,26MB,1:04,10cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2014/6290E55131N.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2014/6290E55131N.eww,"POLYGON ((-97.201869518657 49.761363585975, -97.202035788094 49.75686858824, -97.20897414696 49.756976084637, -97.20880851832 49.761471099364, -97.201869518657 49.761363585975))"
2014,ECW,20MB,1:04,10cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2014/6210E55236N.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2014/6210E55236N.eww,"POLYGON ((-97.309613023647 49.857433552559, -97.309769864891 49.852938372028, -97.316722365281 49.853039557838, -97.316566168435 49.857534754373, -97.309613023647 49.857433552559))"
2014,ECW,13MB,1:04,10cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2014/6200E55296N.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2014/6200E55296N.eww,"POLYGON ((-97.323320294288 49.911601960016, -97.323476162342 49.907106790055, -97.32876601112 49.907183164542, -97.32861063431 49.911678346588, -97.323320294288 49.911601960016))"
2014,ECW,21MB,1:04,10cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2014/6325E55381N.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2014/6325E55381N.eww,"POLYGON ((-97.14470496277 49.985338188463, -97.144877880258 49.980843508432, -97.151848176352 49.98095478846, -97.151675907667 49.985449486104, -97.14470496277 49.985338188463))"
2014,ECW,23MB,1:04,10cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2014/6320E55106N.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2014/6320E55106N.eww,"POLYGON ((-97.161086546248 49.73823527129, -97.161256446633 49.733740357212, -97.168191351287 49.733850258586, -97.168022090814 49.738345190033, -97.161086546248 49.73823527129))"
2014,ECW,26MB,1:04,10cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2014/6255E55206N.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2014/6255E55206N.eww,"POLYGON ((-97.248011744497 49.829533718447, -97.248174139375 49.825038661552, -97.255122416428 49.825143498821, -97.25496066486 49.829638572294, -97.248011744497 49.829533718447))"
2014,ECW,20MB,1:04,10cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2014/6210E55226N.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2014/6210E55226N.eww,"POLYGON ((-97.309926666665 49.84844318763, -97.310083428982 49.843947999365, -97.317034641062 49.844049153176, -97.316878522819 49.848544357439, -97.309926666665 49.84844318763))"
2014,ECW,19MB,1:04,10cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2014/6365E55316N.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2014/6365E55316N.eww,"POLYGON ((-97.091250884904 49.926003449713, -97.091428409602 49.921508861407, -97.098389934185 49.921623254314, -97.098213056056 49.926117860719, -97.091250884904 49.926003449713))"
2014,ECW,20MB,1:04,10cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2014/6335E55166N.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2014/6335E55166N.eww,"POLYGON ((-97.138214958094 49.791841056249, -97.138387297018 49.787346241997, -97.14532976223 49.787457599234, -97.145158065105 49.791952431091, -97.138214958094 49.791841056249))"
