Year,File Type,File Size,Compression,Resolution,Season,Image File,World File,Location
2016,ECW,66MB,1:04,7.5cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2016/6397E55179N.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2016/6397E55179N.eww,"POLYGON ((-97.047416253174 49.803839062713, -97.047687462126 49.79709721003, -97.058102719889 49.797272265137, -97.057832955568 49.804014159334, -97.047416253174 49.803839062713))"
2016,ECW,55MB,1:04,7.5cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2016/6397E55284N.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2016/6397E55284N.eww,"POLYGON ((-97.043608562564 49.898224058121, -97.043881208412 49.891482331065, -97.054316740612 49.891657968413, -97.054045547035 49.898399737144, -97.043608562564 49.898224058121))"
2016,ECW,61MB,1:04,7.5cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2016/6217E55284N.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2016/6217E55284N.eww,"POLYGON ((-97.294123361171 49.902181168577, -97.294361139176 49.895438502734, -97.304798978149 49.895591605419, -97.304562653548 49.902334307596, -97.294123361171 49.902181168577))"
2016,ECW,52MB,1:04,7.5cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2016/6292E55336N.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2016/6292E55336N.eww,"POLYGON ((-97.187966630882 49.947793899452, -97.188219608827 49.941051670928, -97.198666707175 49.941214434652, -97.198415186024 49.947956701811, -97.187966630882 49.947793899452))"
2016,ECW,81MB,1:04,7.5cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2016/6217E55299N.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2016/6217E55299N.eww,"POLYGON ((-97.293647535545 49.915666474119, -97.293885493309 49.908923825705, -97.304326239638 49.909077001069, -97.304089736375 49.915819685836, -97.293647535545 49.915666474119))"
2016,ECW,57MB,1:04,7.5cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2016/6330E55194N.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2016/6330E55194N.eww,"POLYGON ((-97.140653489259 49.818865651225, -97.140911889634 49.812123450636, -97.151330933936 49.812290163682, -97.151073979719 49.819032403812, -97.140653489259 49.818865651225))"
2016,ECW,78MB,1:04,7.5cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2016/6375E55134N.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2016/6375E55134N.eww,"POLYGON ((-97.080266406133 49.763909551696, -97.080532678014 49.757167521515, -97.090939582027 49.757339524921, -97.090674751666 49.764081595885, -97.080266406133 49.763909551696))"
2016,ECW,67MB,1:04,7.5cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2016/6442E55299N.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2016/6442E55299N.eww,"POLYGON ((-96.980425802412 49.9106331854, -96.98070737347 49.903891731157, -96.991145184161 49.904073086264, -96.990865066162 49.91081458354, -96.980425802412 49.9106331854))"
2016,ECW,44MB,1:04,7.5cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2016/6457E55276N.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2016/6457E55276N.eww,"POLYGON ((-96.960400703445 49.890043441777, -96.960684858284 49.883302047059, -96.971118100145 49.883485149753, -96.970835396619 49.890226587914, -96.960400703445 49.890043441777))"
2016,ECW,0MB,1:04,7.5cm,Spring,https://wpgopendata.blob.core.windows.net/ortho-photos-2016/6360E55374N.ecw,https://wpgopendata.blob.core.windows.net/ortho-photos-2016/6360E55374N.eww,"POLYGON ((-97.092602060732 49.979995566601, -97.092868651267 49.973253740424, -97.103322156531 49.973425171548, -97.103057025109 49.980167038423, -97.092602060732 49.979995566601))"
